
#
# Data table for MegaTraveller ship generation program.
# I didn't think it would be quite this large!
#
# The basic format is:
# key override code TL Pow+ Vol+ Wt+ $+ HP minVol Cp Cp* waste+ name
#
# key is a field of 4 hex digits.
# override is a single character field specifying if this entry overrides
#   lower TL entries for the same thing (:, +, *, ! or -).  If a + is present
#	the entry will always be returned.  If a - is present, the entry
#	is subject to being replaced by an equivalent item (same key, code)
#	that has a higher tech level.  If a * is present, it means that
#	lower TL devices of this key and code are no longer available at
#	this TL [i.e. improved but not replaced, used to specify turrets].
#	A : indicates that the given item MUST be unique over all items
#	whose keys start with the same two hex digits.  Furthermore, an
#	item of this kind MUST also have a quantity of exactly one.  Following
#	the : there will be another override field (+, * or - only) for this
#	item.  This allows for unique items that override lower TL things!
#	An override of ! means that this item defines a submenu.  This is
#	used to allow the user to choose individual items.  The fields
#	follow are somewhat different.  The next (third) field is another
#	key, that specifies what item code is in the sub-menu.  The fourth
#	optional field is the minimum TL that this thing becomes available.
#	And the name field is the message printed in the menu displayed to
#	the user.
# code is the UCP code (only codes [1-9A-Z] are to be printed, specifically
# lower case codes are NOT printed and a zero code is NOT printed)
# TL is the minimum TL to get this thing
# Pow, Vol, Wt, $ are power, volume, weight and price
# HP is the number of hardpoints used
# minVol is the minimum volume for the device
# Cp, Cp* are the control points and Cp multiplier (for computers, Cp is
# the maximum control point input)
# waste is a measure of wasted internal space (i.e. no life support)
# name is a text description of the item
#
# Every field except the key, the code and the override may be absent
# The special sequence %string causes all the remaining fields to take
# default values and the name becomes string
# a $ causes just that field to take a default value
# The fields indicated + above are either a constant quantity or
# a multiplicative quantity. (The latter is specified using a leading
# '*').
# Any real values can either be presented as a plain number or as a
# ratio of two numbers (use a '/' between them and no spaces).
#
# key override code TL Pow+ Vol+ Wt+ $+ HP minVol Cp Cp* waste+ name

0000! 1000	%Hull Section
3200- 3 19 $ *2/25   $ $ $ 108		$ $ *2/25	%Fuel Jump
3200- 3 20 $ *1/25   $ $ $ 54		$ $ *1/25	%Fuel Jump
3200- 3 21 $ *1/50   $ $ $ 27		$ $ *1/50	%Fuel Jump
3200- 4 9  $ *1/4    $ $ $ 337.5	$ $ *1/4	%Fuel Jump
3200- 4 17 $ *1/5    $ $ $ 270		$ $ *1/5	%Fuel Jump
3200- 4 18 $ *3/20   $ $ $ 202.5	$ $ *3/20	%Fuel Jump
3200- 4 19 $ *1/10   $ $ $ 135		$ $ *1/10	%Fuel Jump
3200- 4 20 $ *1/20   $ $ $ 67.5		$ $ *1/20	%Fuel Jump
3200- 4 21 $ *1/40   $ $ $ 33.75	$ $ *1/40	%Fuel Jump
3200- 5 9  $ *3/10   $ $ $ 405		$ $ *3/10	%Fuel Jump
3200- 5 17 $ *6/25   $ $ $ 324		$ $ *6/25	%Fuel Jump
3200- 5 18 $ *9/50   $ $ $ 243		$ $ *9/50	%Fuel Jump
3200- 5 19 $ *3/25   $ $ $ 162		$ $ *3/25	%Fuel Jump
3200- 5 20 $ *3/50   $ $ $ 81		$ $ *3/50	%Fuel Jump
3200- 5 21 $ *3/100  $ $ $ 40.5		$ $ *3/100	%Fuel Jump
3200- 6 9  $ *7/20   $ $ $ 472.5	$ $ *7/20	%Fuel Jump
3200- 6 17 $ *7/25   $ $ $ 378		$ $ *7/25	%Fuel Jump
3200- 6 18 $ *21/100 $ $ $ 283.5	$ $ *21/100	%Fuel Jump
3200- 6 19 $ *7/50   $ $ $ 189		$ $ *7/50	%Fuel Jump
3200- 6 20 $ *7/100  $ $ $ 94.5		$ $ *7/100	%Fuel Jump
3200- 6 21 $ *7/200  $ $ $ 47.25	$ $ *7/200	%Fuel Jump

# Maneuver Drives [3-5 p65]
3000! 3300 9	%Maneuver Drive
3300+ 1 9  *13/135  *1/50   *1/25    *20000/27	%Maneuver Drive (antigrav)
3300+ 2 9  *13/54   *1/20   *1/10    *50000/27	%Maneuver Drive (antigrav)
3300+ 3 9  *52/135  *2/25   *4/25    *80000/27	%Maneuver Drive (antigrav)
3300+ 4 9  *143/270 *11/100 *11/50   *110000/27	%Maneuver Drive (antigrav)
3300+ 5 9  *91/135  *7/50   *7/25    *140000/27	%Maneuver Drive (antigrav)
3300+ 6 9  *221/270 *17/100 *17/50   *170000/27	%Maneuver Drive (antigrav)
# Thrusters are a bit different, Fighting Ships claims that 20T is the
# minimum sized ship that can use them, thus there must be a minVol!
3300+ 1 11 *14/135  *1/50   *7/135   *28000/27	$ 5.4  %Maneuver Drive (thruster)
3300+ 2 11 *7/27    *1/20   *7/54    *70000/27	$ 13.5 %Maneuver Drive (thruster)
3300+ 3 11 *56/135  *2/25   *28/135  *112000/27	$ 21.6 %Maneuver Drive (thruster)
3300+ 4 11 *77/135  *11/100 *77/270  *154000/27	$ 29.7 %Maneuver Drive (thruster)
3300+ 5 11 *98/135  *7/50   *49/135  *196000/27	$ 37.8 %Maneuver Drive (thruster)
3300+ 6 11 *119/135 *17/100 *119/270 *238000/27	$ 45.9 %Maneuver Drive (thruster)

# Avionics [3-9 p66]
3000! 3400 8	%Avionics
3400+ 0 8	0.05	0.4	0.2	10000	%TL 8 Avionics
3400+ 0 9	0.04	0.4	0.2	10000	%TL 9 Avionics
3400+ 0 10	0.04	0.3	0.15	12000	%TL 10 Avionics
3400+ 0 11	0.03	0.3	0.15	13000	%TL 11 Avionics
3400+ 0 12	0.03	0.2	0.1	14000	%TL 12 Avionics
3400+ 0 13	0.02	0.2	0.1	15000	%TL 13 Avionics
3400+ 0 14	0.02	0.1	0.05	16000	%TL 14 Avionics
3400+ 0 15	0.02	0.1	0.05	17000	%TL 15 Avionics
3400+ 0 16	0.03	0.05	0.03	18000	%TL 16 Avionics
3400+ 0 17	0.03	0.05	0.03	19000	%TL 17 Avionics
3400+ 0 18	0.04	0.02	0.02	20000	%TL 18 Avionics
3400+ 0 19	0.04	0.02	0.02	22000	%TL 19 Avionics
3400+ 0 20	0.05	0.01	0.01	24000	%TL 20 Avionics
3400+ 0 21	0.06	0.01	0.01	28000	%TL 21 Avionics

# Section 4 Communicators
0000! 4000 5	%Communications Section
# Here and later, I've defined various UCP codes for the different ranges
# of the various devices.  They are:
#	a	Close		0m - 1m
#	b	Short		1m - 5m
#	c	Medium		5m - 50m
#	d	Long		50m - 250m
#	e	Very Long	250m - 500m
#	f	Distant		500m - 5km
#	g	Very Distant	5km - 50km
#	h	Regional	50km - 500km
#	j	Continental	500km - 5000km
#	k	Planetary	5000km - 50000km
#	l	Far Orbit	50000km - 0.5Mkm
#	m	Extreme Orbit	0.5Mkm - 5Mkm
#	n	Interplanetary	5Mkm - 1au
#	p	System		1au - 1kau
#	q	Substellar	1kau - 100kau
#	r	Stellar		100kau - 1pc
#	s	Interstellar	1pc - 2pc
#
# Meson communicators [6-2 p67]
4000! 4100 15	%Meson Communicator
4100- h 15 0.05	0.5 0.5	1000000		%Meson Communicator (Regional)
4100- h 16 0.03	0.3 0.3	500000		%Meson Communicator (Regional)
4100- h 17 0.01	0.1 0.1	250000		%Meson Communicator (Regional)
4100- j 15 0.2	2   2	4000000		%Meson Communicator (Continental)
4100- j 16 0.15	1.5 1.5	2000000		%Meson Communicator (Continental)
4100- j 17 0.1	1   1	1000000		%Meson Communicator (Continental)
4100- j 18 0.05	0.5 0.5	1000000		%Meson Communicator (Continental)
4100- j 20 0.01	0.1 0.1	1000000		%Meson Communicator (Continental)
4100- k 15 3	30  30	10000000	%Meson Communicator (Planetary)
4100- k 16 1.6	16  16	5000000		%Meson Communicator (Planetary)
4100- k 17 0.9	9   9	2500000		%Meson Communicator (Planetary)
4100- k 18 0.5	5   5	2500000		%Meson Communicator (Planetary)
4100- k 20 0.2	2   2	2500000		%Meson Communicator (Planetary)
4100- l 15 15	150 150	20000000	%Meson Communicator (Far Orbit)
4100- l 16 8	80  80	10000000	%Meson Communicator (Far Orbit)
4100- l 17 4.5	45  45	5000000		%Meson Communicator (Far Orbit)
4100- l 18 2.5	25  25	5000000		%Meson Communicator (Far Orbit)
4100- l 20 1.5	15  15	5000000		%Meson Communicator (Far Orbit)
4100- p 15 50	500 500	80000000	%Meson Communicator (System)
4100- p 16 22	220 220	40000000	%Meson Communicator (System)
4100- p 17 16	160 160	20000000	%Meson Communicator (System)
4100- p 18 8.5	85  85	20000000	%Meson Communicator (System)
4100- p 20 5	50  50	20000000	%Meson Communicator (System)

# Radio Communicators
4000! 4200 5	%Radio Communicator
4200- f 5  0.0200 0.0400 0.0200 225	%Radio Communicator (Distant)
4200- f 6  0.0010 0.0020 0.0010 150	%Radio Communicator (Distant)
4200- f 7  0.0001 0.0002 0.0001 75	%Radio Communicator (Distant)
4200- g 5  0.0700 0.1400 0.0700 750	%Radio Communicator (Very Distant)
4200- g 6  0.0070 0.0140 0.0070 500	%Radio Communicator (Very Distant)
4200- g 7  0.0006 0.0012 0.0006 250	%Radio Communicator (Very Distant)
4200- g 8  0.0005 0.0010 0.0005 250	%Radio Communicator (Very Distant)
4200- g 9  0.0004 0.0008 0.0004 250	%Radio Communicator (Very Distant)
4200- g 10 0.0002 0.0004 0.0002 250	%Radio Communicator (Very Distant)
4200- g 12 0.0001 0.0002 0.0001 250	%Radio Communicator (Very Distant)
4200- h 5  0.1500 0.3000 0.1500 1500	%Radio Communicator (Regional)
4200- h 6  0.0150 0.0300 0.0150 1000	%Radio Communicator (Regional)
4200- h 7  0.0013 0.0026 0.0013 500	%Radio Communicator (Regional)
4200- h 8  0.0012 0.0024 0.0012 500	%Radio Communicator (Regional)
4200- h 9  0.0010 0.0020 0.0010 500	%Radio Communicator (Regional)
4200- h 10 0.0007 0.0014 0.0007 500	%Radio Communicator (Regional)
4200- h 12 0.0005 0.0010 0.0005 500	%Radio Communicator (Regional)
4200- h 14 0.0003 0.0006 0.0003 500	%Radio Communicator (Regional)
4200- h 15 0.0001 0.0002 0.0001 500	%Radio Communicator (Regional)
4200- j 5  0.3000 0.6000 0.3000 15000	%Radio Communicator (Continental)
4200- j 6  0.0300 0.0600 0.0300 10000	%Radio Communicator (Continental)
4200- j 7  0.0030 0.0060 0.0030 5000	%Radio Communicator (Continental)
4200- j 8  0.0020 0.0040 0.0020 5000	%Radio Communicator (Continental)
4200- j 9  0.0015 0.0030 0.0015 5000	%Radio Communicator (Continental)
4200- j 10 0.0013 0.0026 0.0013 5000	%Radio Communicator (Continental)
4200- j 12 0.0010 0.0020 0.0010 5000	%Radio Communicator (Continental)
4200- j 14 0.0007 0.0014 0.0007 5000	%Radio Communicator (Continental)
4200- j 15 0.0005 0.0010 0.0005 5000	%Radio Communicator (Continental)
4200- j 16 0.0003 0.0006 0.0003 5000	%Radio Communicator (Continental)
4200- j 17 0.0001 0.0002 0.0001 5000	%Radio Communicator (Continental)
4200- k 5  0.7000 1.4000 0.7000 90000	%Radio Communicator (Planetary)
4200- k 6  0.0700 0.1400 0.0700 60000	%Radio Communicator (Planetary)
4200- k 7  0.0070 0.0140 0.0070 30000	%Radio Communicator (Planetary)
4200- k 8  0.0060 0.0120 0.0060 30000	%Radio Communicator (Planetary)
4200- k 9  0.0040 0.0080 0.0040 30000	%Radio Communicator (Planetary)
4200- k 10 0.0020 0.0040 0.0020 30000	%Radio Communicator (Planetary)
4200- k 12 0.0013 0.0026 0.0013 30000	%Radio Communicator (Planetary)
4200- k 14 0.0010 0.0020 0.0010 30000	%Radio Communicator (Planetary)
4200- k 15 0.0007 0.0014 0.0007 30000	%Radio Communicator (Planetary)
4200- k 16 0.0005 0.0010 0.0005 30000	%Radio Communicator (Planetary)
4200- k 17 0.0001 0.0002 0.0001 30000	%Radio Communicator (Planetary)
4200- l 6  0.1500 0.3000 0.1500 180000	%Radio Communicator (Far Orbit)
4200- l 7  0.0150 0.0300 0.0150 90000	%Radio Communicator (Far Orbit)
4200- l 8  0.0130 0.0260 0.0130 90000	%Radio Communicator (Far Orbit)
4200- l 9  0.0120 0.0240 0.0120 90000	%Radio Communicator (Far Orbit)
4200- l 10 0.0100 0.0200 0.0100 90000	%Radio Communicator (Far Orbit)
4200- l 12 0.0070 0.0140 0.0070 90000	%Radio Communicator (Far Orbit)
4200- l 14 0.0050 0.0100 0.0050 90000	%Radio Communicator (Far Orbit)
4200- l 15 0.0020 0.0040 0.0020 90000	%Radio Communicator (Far Orbit)
4200- l 16 0.0013 0.0026 0.0013 90000	%Radio Communicator (Far Orbit)
4200- l 17 0.0010 0.0020 0.0010 90000	%Radio Communicator (Far Orbit)
4200- p 7  0.0400 0.0800 0.0400 150000	%Radio Communicator (System)
4200- p 8  0.0200 0.0400 0.0200 150000	%Radio Communicator (System)
4200- p 9  0.0180 0.0360 0.0180 150000	%Radio Communicator (System)
4200- p 10 0.0160 0.0320 0.0160 150000	%Radio Communicator (System)
4200- p 12 0.0140 0.0280 0.0140 150000	%Radio Communicator (System)
4200- p 14 0.0100 0.0200 0.0100 150000	%Radio Communicator (System)
4200- p 15 0.0070 0.0140 0.0070 150000	%Radio Communicator (System)
4200- p 16 0.0050 0.0100 0.0050 150000	%Radio Communicator (System)
4200- p 17 0.0030 0.0060 0.0030 150000	%Radio Communicator (System)

# Laser Communicators [4-4 p67]
4000! 4300 8	%Laser Communicator
4300- f 8  0.0040 0.0080 0.0040 2400	%Laser Communicator (Distant)
4300- f 9  0.0020 0.0040 0.0020 1200	%Laser Communicator (Distant)
4300- f 10 0.0015 0.0030 0.0015 1200	%Laser Communicator (Distant)
4300- f 12 0.0010 0.0020 0.0010 1200	%Laser Communicator (Distant)
4300- g 8  0.0160 0.0320 0.0160 10000	%Laser Communicator (Very Distant)
4300- g 9  0.0080 0.0160 0.0080 5000	%Laser Communicator (Very Distant)
4300- g 10 0.0060 0.0120 0.0060 5000	%Laser Communicator (Very Distant)
4300- g 12 0.0040 0.0080 0.0040 5000	%Laser Communicator (Very Distant)
4300- g 14 0.0020 0.0040 0.0020 5000	%Laser Communicator (Very Distant)
4300- g 15 0.0010 0.0020 0.0010 5000	%Laser Communicator (Very Distant)
4300- h 8  0.0200 0.0400 0.0200 22000	%Laser Communicator (Regional)
4300- h 9  0.0100 0.0200 0.0100 11000	%Laser Communicator (Regional)
4300- h 10 0.0080 0.0160 0.0080 11000	%Laser Communicator (Regional)
4300- h 12 0.0050 0.0100 0.0050 11000	%Laser Communicator (Regional)
4300- h 14 0.0030 0.0060 0.0030 11000	%Laser Communicator (Regional)
4300- h 15 0.0020 0.0040 0.0020 11000	%Laser Communicator (Regional)
4300- h 16 0.0010 0.0020 0.0010 11000	%Laser Communicator (Regional)
4300- j 8  0.0400 0.0800 0.0400 42000	%Laser Communicator (Continental)
4300- j 9  0.0200 0.0400 0.0200 21000	%Laser Communicator (Continental)
4300- j 10 0.0150 0.0300 0.0150 21000	%Laser Communicator (Continental)
4300- j 12 0.0100 0.0200 0.0100 21000	%Laser Communicator (Continental)
4300- j 14 0.0050 0.0100 0.0050 21000	%Laser Communicator (Continental)
4300- j 15 0.0030 0.0060 0.0030 21000	%Laser Communicator (Continental)
4300- j 16 0.0020 0.0040 0.0020 21000	%Laser Communicator (Continental)
4300- j 17 0.0010 0.0020 0.0010 21000	%Laser Communicator (Continental)
4300- k 8  0.0700 0.1400 0.0700 72000	%Laser Communicator (Planetary)
4300- k 9  0.0350 0.0700 0.0350 36000	%Laser Communicator (Planetary)
4300- k 10 0.0250 0.0500 0.0250 36000	%Laser Communicator (Planetary)
4300- k 12 0.0180 0.0360 0.0180 36000	%Laser Communicator (Planetary)
4300- k 14 0.0090 0.0180 0.0090 36000	%Laser Communicator (Planetary)
4300- k 15 0.0050 0.0100 0.0050 36000	%Laser Communicator (Planetary)
4300- k 16 0.0040 0.0080 0.0040 36000	%Laser Communicator (Planetary)
4300- k 17 0.0030 0.0060 0.0030 36000	%Laser Communicator (Planetary)
4300- k 18 0.0020 0.0040 0.0020 36000	%Laser Communicator (Planetary)
4300- k 20 0.0010 0.0020 0.0010 36000	%Laser Communicator (Planetary)
4300- l 8  0.1100 0.2200 0.1100 112000	%Laser Communicator (Far Orbit)
4300- l 9  0.0550 0.1100 0.0550 56000	%Laser Communicator (Far Orbit)
4300- l 10 0.0400 0.0800 0.0400 56000	%Laser Communicator (Far Orbit)
4300- l 12 0.0280 0.0560 0.0280 56000	%Laser Communicator (Far Orbit)
4300- l 14 0.0140 0.0280 0.0140 56000	%Laser Communicator (Far Orbit)
4300- l 15 0.0070 0.0140 0.0070 56000	%Laser Communicator (Far Orbit)
4300- l 16 0.0060 0.0120 0.0060 56000	%Laser Communicator (Far Orbit)
4300- l 17 0.0050 0.0100 0.0050 56000	%Laser Communicator (Far Orbit)
4300- l 18 0.0030 0.0060 0.0030 56000	%Laser Communicator (Far Orbit)
4300- l 20 0.0020 0.0040 0.0020 56000	%Laser Communicator (Far Orbit)
4300- p 9  0.1200 0.2400 0.1200 180000	%Laser Communicator (System)
4300- p 10 0.0700 0.1400 0.0700 180000	%Laser Communicator (System)
4300- p 12 0.0500 0.1000 0.0500 180000	%Laser Communicator (System)
4300- p 14 0.0300 0.0600 0.0300 180000	%Laser Communicator (System)
4300- p 15 0.0150 0.0300 0.0150 180000	%Laser Communicator (System)
4300- p 16 0.0100 0.0200 0.0100 180000	%Laser Communicator (System)
4300- p 18 0.0070 0.0140 0.0070 180000	%Laser Communicator (System)
4300- p 20 0.0050 0.0100 0.0050 180000	%Laser Communicator (System)

# Maser Communicators [4-5 p67]
4000! 4400 8	%Maser Communicator
4400- f 8  0.008 0.016 0.008 4800	%Maser Communicator (Distant)
4400- f 9  0.004 0.008 0.004 2400	%Maser Communicator (Distant)
4400- f 10 0.003 0.006 0.003 2400	%Maser Communicator (Distant)
4400- f 12 0.002 0.004 0.002 2400	%Maser Communicator (Distant)
4400- f 14 0.001 0.002 0.001 2400	%Maser Communicator (Distant)
4400- g 8  0.030 0.060 0.030 20000	%Maser Communicator (Very Distant)
4400- g 9  0.016 0.032 0.016 10000	%Maser Communicator (Very Distant)
4400- g 10 0.010 0.020 0.010 10000	%Maser Communicator (Very Distant)
4400- g 12 0.008 0.016 0.008 10000	%Maser Communicator (Very Distant)
4400- g 14 0.004 0.008 0.004 10000	%Maser Communicator (Very Distant)
4400- g 15 0.002 0.004 0.002 10000	%Maser Communicator (Very Distant)
4400- g 17 0.001 0.002 0.001 10000	%Maser Communicator (Very Distant)
4400- h 8  0.040 0.080 0.040 44000	%Maser Communicator (Regional)
4400- h 9  0.020 0.040 0.020 22000	%Maser Communicator (Regional)
4400- h 10 0.015 0.030 0.015 22000	%Maser Communicator (Regional)
4400- h 12 0.010 0.020 0.010 22000	%Maser Communicator (Regional)
4400- h 14 0.005 0.010 0.005 22000	%Maser Communicator (Regional)
4400- h 15 0.003 0.006 0.003 22000	%Maser Communicator (Regional)
4400- h 17 0.002 0.004 0.002 22000	%Maser Communicator (Regional)
4400- h 18 0.001 0.002 0.001 22000	%Maser Communicator (Regional)
4400- j 8  0.080 0.160 0.080 84000	%Maser Communicator (Continental)
4400- j 9  0.040 0.080 0.040 42000	%Maser Communicator (Continental)
4400- j 10 0.030 0.060 0.030 42000	%Maser Communicator (Continental)
4400- j 12 0.020 0.040 0.020 42000	%Maser Communicator (Continental)
4400- j 14 0.010 0.020 0.010 42000	%Maser Communicator (Continental)
4400- j 15 0.005 0.010 0.005 42000	%Maser Communicator (Continental)
4400- j 16 0.004 0.008 0.004 42000	%Maser Communicator (Continental)
4400- j 17 0.003 0.006 0.003 42000	%Maser Communicator (Continental)
4400- j 18 0.002 0.004 0.002 42000	%Maser Communicator (Continental)
4400- k 8  0.140 0.280 0.140 144000	%Maser Communicator (Planetary)
4400- k 9  0.070 0.140 0.070 72000	%Maser Communicator (Planetary)
4400- k 10 0.060 0.120 0.060 72000	%Maser Communicator (Planetary)
4400- k 12 0.035 0.070 0.035 72000	%Maser Communicator (Planetary)
4400- k 14 0.018 0.036 0.018 72000	%Maser Communicator (Planetary)
4400- k 15 0.009 0.018 0.009 72000	%Maser Communicator (Planetary)
4400- k 16 0.007 0.014 0.007 72000	%Maser Communicator (Planetary)
4400- k 17 0.005 0.010 0.005 72000	%Maser Communicator (Planetary)
4400- k 18 0.003 0.006 0.003 72000	%Maser Communicator (Planetary)
4400- k 20 0.002 0.004 0.002 72000	%Maser Communicator (Planetary)
4400- l 8  0.220 0.440 0.220 224000	%Maser Communicator (Far Orbit)
4400- l 9  0.110 0.220 0.110 112000	%Maser Communicator (Far Orbit)
4400- l 10 0.075 0.150 0.075 112000	%Maser Communicator (Far Orbit)
4400- l 12 0.055 0.110 0.055 112000	%Maser Communicator (Far Orbit)
4400- l 14 0.028 0.056 0.028 112000	%Maser Communicator (Far Orbit)
4400- l 15 0.014 0.028 0.014 112000	%Maser Communicator (Far Orbit)
4400- l 16 0.010 0.020 0.010 112000	%Maser Communicator (Far Orbit)
4400- l 17 0.007 0.014 0.007 112000	%Maser Communicator (Far Orbit)
4400- l 18 0.005 0.010 0.005 112000	%Maser Communicator (Far Orbit)
4400- l 20 0.003 0.006 0.003 112000	%Maser Communicator (Far Orbit)
4400- p 9  0.250 0.500 0.250 250000	%Maser Communicator (System)
4400- p 10 0.200 0.400 0.200 250000	%Maser Communicator (System)
4400- p 12 0.130 0.260 0.130 250000	%Maser Communicator (System)
4400- p 14 0.060 0.120 0.060 250000	%Maser Communicator (System)
4400- p 15 0.045 0.090 0.045 250000	%Maser Communicator (System)
4400- p 16 0.040 0.080 0.040 250000	%Maser Communicator (System)
4400- p 17 0.025 0.050 0.025 250000	%Maser Communicator (System)
4400- p 18 0.013 0.026 0.013 250000	%Maser Communicator (System)
4400- p 20 0.007 0.014 0.007 250000	%Maser Communicator (System)

# Section 5 - Sensors and Electronics
0000! 5000 5	%Sensors and Electronics
# Radio Jammers [5.2 p68]
5000! 5100 5	%Radio Jammer
5100- f 5  0.0800 0.1600 0.0400 450	%Radio Jammer (Distant)
5100- f 6  0.0040 0.0080 0.0020 300	%Radio Jammer (Distant)
5100- f 7  0.0004 0.0008 0.0002 150	%Radio Jammer (Distant)
5100- f 12 0.0002 0.0004 0.0001 150	%Radio Jammer (Distant)
5100- g 5  0.2800 0.5600 0.1400 1500	%Radio Jammer (Very Distant)
5100- g 6  0.0280 0.0560 0.0140 1000	%Radio Jammer (Very Distant)
5100- g 7  0.0024 0.0048 0.0012 500	%Radio Jammer (Very Distant)
5100- g 8  0.0020 0.0040 0.0010 500	%Radio Jammer (Very Distant)
5100- g 9  0.0016 0.0032 0.0008 500	%Radio Jammer (Very Distant)
5100- g 10 0.0008 0.0016 0.0004 500	%Radio Jammer (Very Distant)
5100- g 12 0.0004 0.0008 0.0002 500	%Radio Jammer (Very Distant)
5100- g 15 0.0002 0.0004 0.0001 500	%Radio Jammer (Very Distant)
5100- h 5  0.6000 1.2000 0.3000 3000	%Radio Jammer (Regional)
5100- h 6  0.0600 0.1200 0.0300 2000	%Radio Jammer (Regional)
5100- h 7  0.0052 0.0104 0.0026 1000	%Radio Jammer (Regional)
5100- h 8  0.0048 0.0096 0.0024 1000	%Radio Jammer (Regional)
5100- h 9  0.0040 0.0080 0.0020 1000	%Radio Jammer (Regional)
5100- h 10 0.0028 0.0056 0.0014 1000	%Radio Jammer (Regional)
5100- h 12 0.0020 0.0040 0.0010 1000	%Radio Jammer (Regional)
5100- h 14 0.0012 0.0024 0.0006 1000	%Radio Jammer (Regional)
5100- h 15 0.0004 0.0008 0.0002 1000	%Radio Jammer (Regional)
5100- h 16 0.0002 0.0004 0.0001 1000	%Radio Jammer (Regional)
5100- j 5  1.2000 2.4000 0.6000 30000	%Radio Jammer (Continental)
5100- j 6  0.1200 0.2400 0.0600 20000	%Radio Jammer (Continental)
5100- j 7  0.0120 0.0240 0.0060 10000	%Radio Jammer (Continental)
5100- j 8  0.0080 0.0160 0.0040 10000	%Radio Jammer (Continental)
5100- j 9  0.0052 0.0104 0.0026 10000	%Radio Jammer (Continental)
5100- j 10 0.0040 0.0080 0.0020 10000	%Radio Jammer (Continental)
5100- j 14 0.0028 0.0056 0.0014 10000	%Radio Jammer (Continental)
5100- j 16 0.0012 0.0024 0.0006 10000	%Radio Jammer (Continental)
5100- j 17 0.0004 0.0008 0.0002 10000	%Radio Jammer (Continental)
5100- j 18 0.0002 0.0004 0.0001 10000	%Radio Jammer (Continental)
5100- k 5  2.8000 5.6000 1.4000 180000	%Radio Jammer (Planetary)
5100- k 6  0.2800 0.5600 0.1400 120000	%Radio Jammer (Planetary)
5100- k 7  0.0280 0.0560 0.0140 60000	%Radio Jammer (Planetary)
5100- k 8  0.0240 0.0480 0.0120 60000	%Radio Jammer (Planetary)
5100- k 9  0.0160 0.0320 0.0080 60000	%Radio Jammer (Planetary)
5100- k 10 0.0080 0.0160 0.0040 60000	%Radio Jammer (Planetary)
5100- k 12 0.0052 0.0104 0.0026 60000	%Radio Jammer (Planetary)
5100- k 14 0.0040 0.0080 0.0020 60000	%Radio Jammer (Planetary)
5100- k 15 0.0028 0.0056 0.0014 60000	%Radio Jammer (Planetary)
5100- k 16 0.0020 0.0040 0.0010 60000	%Radio Jammer (Planetary)
5100- k 17 0.0004 0.0008 0.0002 60000	%Radio Jammer (Planetary)
5100- l 6  0.6000 1.2000 0.3000 360000	%Radio Jammer (Far Orbit)
5100- l 7  0.0600 0.1200 0.0300 180000	%Radio Jammer (Far Orbit)
5100- l 8  0.0520 0.1040 0.0260 180000	%Radio Jammer (Far Orbit)
5100- l 9  0.0480 0.0960 0.0240 180000	%Radio Jammer (Far Orbit)
5100- l 10 0.0400 0.0800 0.0200 180000	%Radio Jammer (Far Orbit)
5100- l 12 0.0280 0.0560 0.0140 180000	%Radio Jammer (Far Orbit)
5100- l 14 0.0200 0.0400 0.0100 180000	%Radio Jammer (Far Orbit)
5100- l 15 0.0080 0.0160 0.0040 180000	%Radio Jammer (Far Orbit)
5100- l 16 0.0052 0.0104 0.0026 180000	%Radio Jammer (Far Orbit)
5100- l 17 0.0040 0.0080 0.0020 180000	%Radio Jammer (Far Orbit)
5100- p 7  0.1600 0.3200 0.0800 300000	%Radio Jammer (System)
5100- p 8  0.0800 0.1600 0.0400 300000	%Radio Jammer (System)
5100- p 9  0.0720 0.1440 0.0360 300000	%Radio Jammer (System)
5100- p 10 0.0640 0.1280 0.0320 300000	%Radio Jammer (System)
5100- p 12 0.0560 0.1120 0.0280 300000	%Radio Jammer (System)
5100- p 14 0.0400 0.0800 0.0200 300000	%Radio Jammer (System)
5100- p 15 0.0280 0.0560 0.0140 300000	%Radio Jammer (System)
5100- p 16 0.0200 0.0400 0.0100 300000	%Radio Jammer (System)
5100- p 17 0.0120 0.0240 0.0060 300000	%Radio Jammer (System)

# Radars [5.3 p68]
5000! 5210 6	%Radar
5000! 5220 6	%All Weather Radar
5210- f 6 0.250 0.500 0.250 250000	%Radar (Distant)
5210- f 7 0.025 0.050 0.025 25000	%Radar (Distant)
5210- f 8 0.003 0.006 0.003 3000	%Radar (Distant)
5210- f 9 0.001 0.002 0.001 1000	%Radar (Distant)
5210- g 6 1.500 3.000 1.500 1500000	%Radar (Very Distant)
5210- g 7 0.150 0.300 0.150 150000	%Radar (Very Distant)
5210- g 8 0.015 0.030 0.015 15000	%Radar (Very Distant)
5210- g 9 0.008 0.016 0.008 8000	%Radar (Very Distant)
5210- h 6 6.500 13.00 6.500 6500000	%Radar (Regional)
5210- h 7 0.650 1.300 0.650 650000	%Radar (Regional)
5210- h 8 0.065 0.130 0.065 65000	%Radar (Regional)
5210- h 9 0.033 0.066 0.033 33000	%Radar (Regional)
5210- j 6 20.00 40.00 20.00 20000000	%Radar (Continental)
5210- j 7 2.000 4.000 2.000 2000000	%Radar (Continental)
5210- j 8 0.200 0.400 0.200 200000	%Radar (Continental)
5210- j 9 0.100 0.200 0.100 100000	%Radar (Continental)
