# (in progress. Esp. feminine names)
#
# This is a name generator for the Steampunk/Post Apocalyptic 
# roleplaying game [[http://wiki.apocalyptus.com Apocalyptus]]. 
# It might also come in handy for other Steampunk applications, 
# but it contains pretty much exclusively English names, and 
# has a lot of silly made-up surnames.


;Start
1,”Airy-Fairy”
1,”Knickers”
1,”No-Mates”
1,”Ankle-Biter”
1,”Antique”
1,”Shilling”
1,”Baboon”
1,”Tobacco”
1,”Bad Egg”
1,”Good Egg”
1,”Bamstick”
1,”Banger”
1,”Banjo”
1,”Barking”
1,”Barmcake”
1,”Barmpot”
1,”Sticky Wicket”
1,”Batty”
1,”Beer-Baby”
1,”Bellyache”
1,”Sliced-Bread”
1,”Bicky”
1,”Biff”
1,”Bingo”
1,”Spectacles”
1,”Bird-Brain”
1,”Blagger”
1,”Badger”
1,”Rooster”
1,”Blighter”
1,”Blob”
1,”Bloomer”
1,”Blotto”
1,”Stag”
1,”Boffin”
1,”Boiler”
1,”Six-Gun”
1,”Gin and Tonic”
1,”Bootneck”
1,”Boozer”
1,”Brammer”
1,”Brass-Buttons”
1,”Brummie”
1,”Bubblehead”
1,”Bum-Rush”
1,”Bungalow”
1,”Spondulix”
1,”Gummy”
1,”Cabbage”
1,”Ginger”
1,”Chicken”
1,”Mustang”
1,”Racehorce”
1,”Greyhound”
1,”Chinless Wonder”
1,”Chippy”
1,”Chugger”
1,”Clayhead”
1,”Clever-Clogs”
1,”Clodhopper”
1,”Codswallop”
1,”Codhead”
1,”Codfish”
1,”Codger”
1,”Coffin Dodger”
1,”Coldfish”
1,”Collywobbles”
1,”Crock”
1,”Vulture”
1,”Diamond”
1,”Dingbat”
1,”Calico”
1,”Dishy”
1,”Long-Legs”
1,”Doormat”
1,”Dozy”
1,”Duffer”
1,”Dumbo”
1,”Earful”
1,”Earwig”
1,”Egghead”
1,”Elbow Grease”
1,”Rat”
1,”Faffer”
1,”Fancy Man”
1,”Fat-Head”
1,”Fiddle”
1,”Fisticuffs”
1,”Flea-Bag”
1,”Freeloader”
1,”Galoot”
1,”Geezer”
1,”Glass-Eye”
1,”Gormless”
1,”Grotbag”
1,”Guzzle-Guts”
1,”Hatstand”
1,”Hell's Bells”
1,”Henpecked”
1,”Howler”
1,”Jelly”
1,”Jellyfish”
1,”Knickers”
1,”Mutton-Chops”
1,”Lark”
1,”Lobster”
1,”Loony”
1,”Lord Muck”
1,”Lummox”
1,”Mince-Pie”
1,”Moneybags”
1,”Moocher”
1,”Mucky”
1,”Muffin”
1,”Muggins”
1,”Mustard”
1,”Ninny”
1,”Nugget”
1,”Nutter”
1,”Pansy”
1,”Piffle”
1,”Plug-Ugly”
1,”Porker”
1,”Porridge”
1,”Prat”
1,”Pudding”
1,”Rummy”
1,”Rubberneck”
1,”Scabby”
1,”Scrummy”
1,”Scumbucket”
1,”Skunk”
1,”Slobberchops”
1,”Smidgeon”
1,”Cricket”
1,”Stringbean”
1,”Trombone
1,”Waffle”
1,”Whinger”
1,”Whopper”
1,”Windbag”
1,”Zeppelin”
1,”Wonky”
1,”Pork Loin”
1,”Union Jack”
1,”Barnacle”
1,”Dinosaur”

;FemaleNick
1,”Bossyboots”
1,”Kitten”
1,”Tip-toe”
1,”Half-Pint”
1,”Fruitcake”
1,”Mince-Pie”
1,”Gravy”
1,”Ricepaper”
1,”Big Nurse”
1,”Sissy”

;FemaleFirst
1,Winefred
1,Harriet
1,Henrietta
1,Alberta
1,Louisa
1,Sybil
1,Caroline
1,Matilda
1,Blanche
1,Greta
1,Millicent
1,Rosamond
1,Nola
1,Muriel
1,Hester
1,Virginia
1,Constance
1,Marian
1,Edith
1,Clara
1,Rosemary
1,Beatrice
1,Sylvia
1,Martha
1,Bertha
1,Bessie
1,Blanche
1,Anna
1,Fenchurch
1,Alice
1,Annie
1,Alma
1,Agnes
1,Adda
1,Charlotte
1,Catherine
1,Cecilia
1,Florence
1,Fannie
1,Fern
1,Frieda
1,Flossie
1,Georgia
1,Gertrude
1,Grace
1,Gladys
1,Ida
1,Iva
1,Ivy
1,Julia
1,Josephene
1,Jennie
1,Jessie
1,Julia
1,Kittie
1,Lydia
1,Lucy
1,Lillian
1,Minnie
1,Myrtle
1,Maude
1,Mabel
1,Nellie
1,Nancy
1,Nettie
1,Nora
1,Opal
1,Olive
1,Olga
1,Ophelia
1,Pearl
1,Rose
1,Ruth
1,Ruby
1,Stella
1,Sadie
1,Sylvia
1,Sarah
1,Sallie
1,Selma
1,Theresa
1,Tillie
1,Vivian
1,Vera
1,Velma
1,Viola
1,Violet
1,Zella
1,Zelma
1,Felicity
1,Chastity
1,Cassidy
1,Prudence
1,Victoria
1,Scarlet
1,Hildebrandt
1,Priscilla



